workflow_id	task_name	cpus	memory	disk	duration	cost
b1f0e615-de6c-448c-bb7b-de8ce3ae0e3e	salmon_paired_reads	10	64GB	80GB	0.91h	$0.12
f16fb9bb-28b9-489b-9360-0b1a23bdd1a9	bamToFastq	0	0GB	0GB	0.00h	$0.00
f16fb9bb-28b9-489b-9360-0b1a23bdd1a9	salmon_paired_reads	0	0GB	0GB	0.00h	$0.00
74153a5d-9e5a-4a2d-863f-269f1a1cdeb2	bamToFastq	2	10GB	40GB	3.20h	$0.08
d294836c-5883-4bcc-b089-b9274543f496	bamToFastq	0	0GB	0GB	0.00h	$0.00
d294836c-5883-4bcc-b089-b9274543f496	salmon_paired_reads	0	0GB	0GB	0.00h	$0.00
dae78826-45b4-46d9-bc9c-541296c922b0	bamToFastq	2	10GB	40GB	6.02h	$0.15
0708cec9-8e59-460a-9885-fdc960c1efd4	bamToFastq	2	10GB	40GB	25.09h	$0.64
0708cec9-8e59-460a-9885-fdc960c1efd4	salmon_paired_reads	10	64GB	80GB	3.80h	$0.51
0708cec9-8e59-460a-9885-fdc960c1efd4	salmon_paired_reads	10	64GB	80GB	5.59h	$0.75
b84dcf75-f461-4c9d-b3f8-5be407267ede	bamToFastq	2	10GB	40GB	0.84h	$0.02
77ddbe20-b298-4a87-96cd-fb3de899e9cc	bamToFastq	2	10GB	40GB	27.25h	$0.70
77ddbe20-b298-4a87-96cd-fb3de899e9cc	salmon_paired_reads	10	64GB	80GB	0.99h	$0.13
c2a93313-92c4-465d-9757-dc9faec9d7b9	bamToFastq	2	10GB	40GB	35.02h	$0.89
c2a93313-92c4-465d-9757-dc9faec9d7b9	salmon_paired_reads	10	64GB	80GB	6.71h	$0.90
f174d4a6-b456-4e9d-b3db-9aa4a1c45757	bamToFastq	2	10GB	40GB	16.40h	$0.42
f174d4a6-b456-4e9d-b3db-9aa4a1c45757	salmon_paired_reads	10	64GB	80GB	5.15h	$0.69
09acda35-c069-46dc-8066-3047bc5e1a1a	bamToFastq	2	10GB	40GB	8.29h	$0.21
09acda35-c069-46dc-8066-3047bc5e1a1a	salmon_paired_reads	10	64GB	80GB	1.05h	$0.14
0a1fe835-19b9-45c0-a223-5b245d55a3ff	bamToFastq	2	10GB	40GB	38.31h	$0.98
0a1fe835-19b9-45c0-a223-5b245d55a3ff	salmon_paired_reads	10	64GB	80GB	4.72h	$0.63
